"AffyID"	"SYMBOL"	"ND_1_CD14_TNF_90_133Plus_2.CEL"	"ND_2_CD14_TNF_90_133Plus_2.CEL"
"1007_s_at"	"DDR1"	"7.53941835018691"	"7.55085358198348"
"1053_at"	"RFC2"	"7.59930068623044"	"7.5598187110701"
"117_at"	"HSPA6"	"7.3625818814894"	"7.97809071569532"
"121_at"	"PAX8"	"7.94005520929207"	"7.38733231323588"
"1255_g_at"	"GUCA1A"	"6.68995314890296"	"6.80840857579052"
"1294_at"	"UBA7"	"8.35241764899063"	"7.86537659728709"
"1316_at"	"THRA"	"7.35953444926311"	"7.55683528257372"
"1320_at"	"PTPN21"	"7.14364663921154"	"7.59345931585059"
"1405_i_at"	"CCL5"	"8.12143650341193"	"7.49852871323771"
"1431_at"	"CYP2E1"	"6.66955101860151"	"6.94012437182146"
"1438_at"	"EPHB3"	"6.99812474972597"	"7.40764099432606"
"1487_at"	"ESRRA"	"8.28072887997595"	"7.38272574440454"
"1494_f_at"	"CYP2A6"	"7.28286541910632"	"7.42051929836252"
"1552256_a_at"	"SCARB1"	"7.62444186674173"	"7.81760762385635"
"1552257_a_at"	"TTLL12"	"7.72699683393247"	"7.31892276968542"
"1552258_at"	"LINC00152"	"7.03232791138713"	"7.3061648226518"
"1552261_at"	"WFDC2"	"7.32887880574584"	"7.67257697736719"
"1552263_at"	"MAPK1"	"8.35241211845338"	"6.65184722227066"
"1552264_a_at"	"MAPK1"	"8.27674373945338"	"7.76056042756872"
"1552266_at"	"ADAM32"	"6.61687965770692"	"6.83973070041176"
"1552269_at"	"SPATA17"	"6.61963379720436"	"6.91443599702154"
"1552271_at"	"PRR22"	"7.16367325570156"	"7.35838363978504"
"1552272_a_at"	"PRR22"	"7.01665726027069"	"7.57718066318951"
"1552274_at"	"PXK"	"7.04679649040227"	"6.92792127150207"
"1552275_s_at"	"PXK"	"7.25553879359622"	"7.035836769252"
"1552276_a_at"	"VPS18"	"7.48384880150788"	"7.58550028620329"
"1552277_a_at"	"MSANTD3"	"7.24498840403735"	"6.99522127036408"
"1552278_a_at"	"SLC46A1"	"6.94133765165319"	"7.41409236245608"
"1552279_a_at"	"SLC46A1"	"7.20183141258624"	"7.33403822903686"
"1552280_at"	"TIMD4"	"6.72171296417283"	"7.04153850551693"
"1552281_at"	"SLC39A5"	"7.1969609994138"	"7.73186783192553"
"1552283_s_at"	"ZDHHC11"	"6.85038357010725"	"6.95892595436416"
"1552286_at"	"ATP6V1E2"	"7.32518691568385"	"7.60294496097298"
"1552287_s_at"	"AFG3L1P"	"7.78858840410599"	"7.36270376949631"
"1552288_at"	"CILP2"	"6.82164164636602"	"8.49619848673139"
"1552289_a_at"	"CILP2"	"7.01731398115521"	"7.62908897294587"
"1552291_at"	"PIGX"	"6.94560113222504"	"6.85973837557794"
"1552293_at"	"TMEM196"	"7.08391001792265"	"7.07577381600619"
"1552295_a_at"	"SLC39A13"	"7.82744059950649"	"7.98272066362821"
"1552296_at"	"BEST4"	"6.91060285381234"	"7.32131179975799"
"1552299_at"	"AK9"	"6.77031698707392"	"7.01731398115521"
"1552301_a_at"	"CORO6"	"7.3348081862878"	"7.40836425646682"
"1552302_at"	"TMEM106A"	"7.79807246482095"	"7.2790332088237"
"1552303_a_at"	"TMEM106A"	"8.5712775460427"	"7.95763996888163"
"1552304_at"	"ALG10"	"6.82716216850648"	"6.77974333733235"
"1552306_at"	"ALG10"	"6.75033605434385"	"6.72222086461554"
"1552307_a_at"	"TTC39C"	"7.23341184842447"	"7.10652361252407"
"1552309_a_at"	"NEXN"	"6.9228662798949"	"6.76754140218421"
"1552310_at"	"C15orf40"	"7.47617701789432"	"6.84098393130841"
"1552311_a_at"	"RAX2"	"7.92722672542488"	"8.22444596811593"
"1552312_a_at"	"MFAP3"	"7.04562076072579"	"6.71859995027212"
"1552314_a_at"	"EYA3"	"7.64899706353887"	"7.01554861907702"
"1552315_at"	"GIMAP1"	"7.417896905695"	"8.25662316543252"
"1552316_a_at"	"GIMAP1"	"7.36703875601186"	"7.10601154815332"
"1552318_at"	"GIMAP1"	"7.38931795184722"	"7.17583914819813"
"1552319_a_at"	"KLK8"	"6.99571211601835"	"8.91797612136174"
"1552320_a_at"	"CCDC65"	"6.72782027030865"	"6.89535882280799"
"1552321_a_at"	"CCDC65"	"6.79393659803959"	"7.23704049825963"
"1552322_at"	"FAM122C"	"6.61687965770692"	"6.68671086769548"
"1552323_s_at"	"FAM122C"	"6.79922681561124"	"6.86051797398953"
"1552325_at"	"CFAP53"	"6.68973521575989"	"7.16485766283645"
"1552326_a_at"	"CFAP53"	"6.81449587553911"	"7.07782408052351"
"1552327_at"	"ARMCX4"	"6.74385831393465"	"6.80273959399572"
"1552329_at"	"RBBP6"	"7.46807107327549"	"6.74638959233694"
"1552330_at"	"CENPBD1"	"7.34651733414079"	"6.91388746829665"
"1552332_at"	"TRIOBP"	"7.65191002227285"	"8.03181637656806"
"1552334_at"	"TRIOBP"	"7.59477488632905"	"7.20517798430078"
"1552335_at"	"CATSPER1"	"7.76378823643918"	"7.21457545438873"
"1552337_s_at"	"HOXD4"	"6.8216123019186"	"7.13834729770211"
"1552338_at"	"GSC"	"7.06188081037599"	"7.87526175755211"
"1552340_at"	"SP7"	"7.19485858577765"	"7.4152300357559"
"1552343_s_at"	"PDE7A"	"7.01631651482505"	"7.0291271104429"
"1552344_s_at"	"CNOT7"	"7.10992438806698"	"6.70310929517899"
"1552347_at"	"CRYZL1"	"7.36912446921469"	"7.12664529551941"
"1552348_at"	"PRSS33"	"7.31978410084549"	"7.35785362726107"
"1552349_a_at"	"PRSS33"	"6.90596778054861"	"7.37552018392766"
"1552354_at"	"CBARP"	"7.538276970667"	"8.68551647911647"
"1552355_s_at"	"CBARP"	"7.1343489229086"	"7.24777959163164"
"1552359_at"	"MCMDC2"	"6.67081550840038"	"6.83230806115604"
"1552360_a_at"	"TIRAP"	"7.30864501947618"	"6.76785403638887"
"1552362_a_at"	"LEAP2"	"6.94559442495504"	"7.34864654790429"
"1552364_s_at"	"MSI2"	"7.23901729295827"	"7.56087864509299"
"1552365_at"	"SCIN"	"6.65123613277593"	"6.69855530072083"
"1552367_a_at"	"SCIN"	"6.63399394828417"	"6.87767387486851"
"1552368_at"	"CTCFL"	"6.70991837145676"	"6.80004276862924"
"1552370_at"	"C4orf33"	"6.96805862349687"	"7.03495864417898"
"1552372_at"	"C4orf33"	"6.63618137172171"	"6.57061202257536"
"1552373_s_at"	"C4orf33"	"6.6291117265313"	"6.78787560142735"
"1552375_at"	"ZNF333"	"7.28054127109312"	"6.89455331741465"
"1552377_s_at"	"TVP23C"	"7.42926704397218"	"7.31278825022417"
"1552378_s_at"	"RDH10"	"6.96400416114653"	"7.17006748206427"
"1552379_at"	"RDH10"	"6.53662583789774"	"6.72633171899655"
"1552381_at"	"SRSF12"	"6.90885799162345"	"7.25404892702294"
"1552383_at"	"FAM71A"	"7.84232302791109"	"8.49553373277365"
"1552384_a_at"	"FAM71A"	"6.97685743665983"	"7.63778997235277"
"1552386_at"	"GAPT"	"9.06924633755902"	"6.92982608985442"
"1552388_at"	"SCUBE1"	"7.28059429709913"	"7.72559523243172"
"1552389_at"	"ERICH5"	"6.94931977240928"	"7.35908243903449"
"1552390_a_at"	"ERICH5"	"6.58936872774168"	"6.73892835240092"
"1552391_at"	"CCDC185"	"7.14241697557241"	"7.85759015615651"
"1552393_at"	"ENTHD1"	"6.54521329483969"	"6.62812475730375"
"1552394_a_at"	"ENTHD1"	"6.80349642483679"	"6.83568617241337"
"1552395_at"	"TSSK3"	"7.83152931988746"	"7.94081525340291"
"1552396_at"	"WFDC6"	"6.92897811779319"	"7.66702256911026"
"1552398_a_at"	"CLEC12A"	"8.62580726628777"	"7.88605863088932"
"1552399_a_at"	"BRF1"	"6.66034458836403"	"7.54348574407639"
"1552400_a_at"	"C15orf27"	"7.00522039888835"	"7.05874251951114"
"1552401_a_at"	"BACH1"	"6.76647566807187"	"7.36197786721647"
"1552402_at"	"CALML6"	"6.92866100374088"	"7.33032553831047"
"1552405_at"	"NLRP5"	"6.85966382582292"	"7.28950684067717"
"1552408_at"	"ODF4"	"6.80690269841808"	"6.95157702567304"
"1552409_a_at"	"ODF4"	"7.27934616306524"	"7.202661681609"
"1552410_at"	"CLEC4F"	"7.0737638981314"	"7.31818436422484"
"1552411_at"	"DEFB106A"	"7.3024088720026"	"6.92202164101035"
"1552412_a_at"	"DEFB106A"	"6.59506387424645"	"6.99856347316477"
"1552414_at"	"WFDC9"	"6.82203145538214"	"7.08508987540936"
"1552415_a_at"	"WFDC9"	"6.81632468284327"	"6.9356498367312"
"1552417_a_at"	"NEDD1"	"6.82442755258529"	"6.82423068669137"
"1552418_at"	"TTLL10"	"7.31398539030357"	"7.47854964994876"
"1552419_s_at"	"TTLL10"	"6.9493309100112"	"7.00116168054156"
"1552421_a_at"	"CALR3"	"6.90166287209095"	"7.42418626692516"
"1552422_at"	"C10orf25"	"6.90100880720261"	"7.34288627418885"
"1552423_at"	"ETV3"	"7.5033048573136"	"6.91397781934401"
"1552424_at"	"KLHL10"	"6.81792880909312"	"7.12308147961423"
"1552425_a_at"	"KLHL10"	"7.13136903531759"	"7.12322320253993"
"1552426_a_at"	"TM2D3"	"8.64095490211624"	"7.31578842613985"
"1552427_at"	"ZNF485"	"6.63366231663659"	"6.68866575857741"
"1552430_at"	"WDR17"	"6.61286934736583"	"6.81471131521065"
"1552432_at"	"MFSD6L"	"7.35269625733448"	"7.52473825737949"
"1552436_a_at"	"CDH23"	"7.27704804770625"	"7.55376122089242"
"1552438_a_at"	"ANKAR"	"6.67003925382421"	"6.6214399644606"
"1552439_s_at"	"MEGF11"	"6.78318897092372"	"6.92386198776144"
"1552440_at"	"GPR182"	"7.01317015905314"	"7.50006847833437"
"1552445_a_at"	"ESX1"	"6.7645990328402"	"6.67139171452573"
"1552448_a_at"	"FAM167A-AS1"	"6.69582814672518"	"6.83748757893193"
"1552449_a_at"	"SCGB1C1"	"6.98992235978549"	"7.29224551389171"
"1552450_a_at"	"DNAJC5G"	"7.11559432483869"	"7.18162945651016"
"1552452_at"	"WDR88"	"6.88046127288635"	"6.86011666093575"
"1552453_a_at"	"WDR88"	"6.81449587553911"	"7.17318642630645"
"1552455_at"	"PRUNE2"	"6.61944679916961"	"7.15848418476698"
"1552456_a_at"	"MBD3L2"	"6.92870274460745"	"7.15521394708753"
"1552457_a_at"	"ADAMTSL1"	"6.77496566737992"	"6.86463757852521"
"1552458_at"	"MBD3L1"	"6.74107583443582"	"7.32432058030247"
"1552459_a_at"	"MBD3L1"	"7.05366074168198"	"7.86117944822491"
"1552461_at"	"FAM46D"	"6.6545211201189"	"6.74207999279707"
"1552463_at"	"SERPINB11"	"6.75012178512942"	"7.23797301686848"
"1552466_x_at"	"LINC00161"	"6.68554363364071"	"6.95934611877045"
"1552467_at"	"DSCR10"	"7.48935917769547"	"7.65659283280812"
"1552468_a_at"	"DSCR10"	"7.11926293256536"	"7.24397254395221"
"1552470_a_at"	"ABHD11"	"6.7781904129327"	"7.12866315828016"
"1552472_a_at"	"ACAP2"	"7.78153128561535"	"7.09553370116682"
"1552473_at"	"GAMT"	"7.40763976221014"	"7.35148465324222"
"1552474_a_at"	"GAMT"	"7.4993235770592"	"7.74691996333791"
"1552476_s_at"	"PLCD3"	"7.0657117241251"	"7.14996591397091"
"1552477_a_at"	"IRF6"	"6.65468305745691"	"6.89290452653473"
"1552478_a_at"	"IRF6"	"6.75756870421352"	"7.05158311579337"
